Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
Select Water Solutions - Permian / New Mexico,Water Management / Disposal / Transfer | Water Management / Disposal,National / Multi-basin | National / Major,High | Standard,,Carlsbad,NM,Needs local office confirmation,https://www.selectwater.com/,32.420700,-104.228800,City-level geocode; exact facility pending,High,Company source; direct call recommended | Company source city-level; exact address needs confirmation,https://www.selectwater.com/ | https://www.selectwater.com/contact-us/,"Permian/NM water management, transfer, recycling and disposal provider; map local facilities as verified. | Select lists this city as a service location; exact yard address should be confirmed by sales team.",Confirmed oilfield specific,Satellite service center | Service city / exact yard pending,Existing V2.7 record,32.4207,-104.2288,,Kept best record; merged/removed 1 duplicate(s): Select Water Solutions - Carlsbad,City centroid / no physical address,32.420700|-104.228800,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
USA Compression Partners - Carlsbad,Compression / Gas Services,Regional / Permian / Delaware,High,City-level; exact address pending,Carlsbad,NM,Needs direct confirmation,https://usacompression.com/,32.420700,-104.228800,City-level geocode; exact office pending,High,Operating-location placeholder; direct verification required,https://usacompression.com/about/where-we-operate/,Delaware Basin compression support placeholder.,Confirmed oilfield gas compression,Regional support placeholder,Existing V2.7 record,32.4207,-104.2288,,,City centroid / physical address needed,32.420700|-104.228800,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Aztec Well Servicing,Well Servicing / Workover Rigs,Regional,High,,Farmington,NM,Needs direct confirmation,https://aztecwell.com/,36.728100,-108.218700,City-level geocode; exact address pending,High,Company source; direct call recommended,https://aztecwell.com/,New Mexico / Four Corners well servicing and workover candidate; add yard details after verification.,Confirmed oilfield specific,New Mexico well service provider,Existing V2.7 record,36.7281,-108.2187,,,City centroid / no physical address,36.728100|-108.218700,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Basin Well Logging / Steel Energy,Cased-Hole Wireline / Logging / Perforating,Regional / Rockies/Southwest,Medium,,Farmington,NM,505-327-5244,https://basinwell.com/,36.728100,-108.218700,City-level geocode; exact address pending,Low / Specialty,Company source verified,https://basinwell.com/,"Cased-hole wireline service providing logging, perforating and completion/recompletion services; include for wireline/perforating taxonomy.",Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,36.7281,-108.2187,,,City centroid / no physical address,36.728100|-108.218700,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
J.A. Drake Well Service,Wireline / Well Service / San Juan & Permian,Local / Regional,High,Exact address pending,Farmington,NM,Needs direct confirmation,https://www.drakewellservice.com/wireline,36.728100,-108.218700,City-level geocode; exact yard pending,High,Company/source verified; direct-call before use,https://www.drakewellservice.com/wireline,Oilfield wireline services across San Juan and Permian Basins; family-owned/woman-led company.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,36.7281,-108.2187,,,City centroid / physical address needed,36.728100|-108.218700,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Baker Hughes - Hobbs Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Hobbs,NM,Needs direct confirmation,https://www.bakerhughes.com/,32.702600,-103.136000,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.bakerhughes.com/,"Satellite/district lead for Baker Hughes drilling, drill bits, wireline, completions, production chemicals and artificial lift; verify actual service lines and address.",Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,32.7026,-103.136,,,City centroid / physical address needed,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Energy Fishing and Rental Services,Fishing / Rental Tools,Local / Regional,Medium,City-level office/camp; exact address pending,Hobbs,NM,Needs direct confirmation,,32.702600,-103.136000,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,Fishing/rental tool lead; verify current yards and basin coverage.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,32.7026,-103.136,,,City centroid / physical address needed,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Fox Oil Drilling Company - Hobbs,Drilling Contractor,Regional / New Mexico,High,401 E Bender,Hobbs,NM,575-397-3311,https://www.foxoildrilling.com/oil-rigs.html,32.702600,-103.136000,Map ready / address ready,High,Company/source verified; direct-call before use,https://www.foxoildrilling.com/oil-rigs.html,New Mexico drilling contractor lead with Hobbs contact; qualify current rig fleet and service area.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,32.7026,-103.1360,,,Physical address / approximate geocode,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Halliburton - Hobbs Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Hobbs,NM,Needs direct confirmation,https://www.halliburton.com/,32.702600,-103.136000,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.halliburton.com/,Satellite/district lead for major-provider field service extraction; verify actual service lines and yard/camp address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,32.7026,-103.136,,,City centroid / physical address needed,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Halliburton Drill Bits - Hobbs Lead,Drill Bits / Bottomhole Assembly,National / Major,Standard,City-level office/camp; exact address pending,Hobbs,NM,Needs direct confirmation,https://www.halliburton.com/,32.702600,-103.136000,Ready after exact address verification,High,City-level lead; exact address pending,https://www.halliburton.com/,City-level lead for Permian/New Mexico drill bit support; exact address pending.,Confirmed/likely oilfield-specific product fit,District / product support lead,V2.14 User requested service-category expansion,32.7026,-103.136,,,City centroid / physical address needed,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Ranger Energy Services - Hobbs,Well Service Rigs / Wireline / Ancillary Services,National / Multi-basin,High,3201 W. Daniels St,Hobbs,NM,307-251-8361 / 575-909-2865,https://www.rangerenergy.com/about/locations/,32.702600,-103.175000,City-level geocode; address ready,High,Company source verified,https://www.rangerenergy.com/about/locations/,New Mexico rig location for Permian/Delaware basin well service coverage.,Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,32.7026,-103.1750,,,City centroid / physical address needed,32.702600|-103.175000,1,Single marker; tooltip opens on hover
SLB - Hobbs Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Hobbs,NM,Needs direct confirmation,https://www.slb.com/,32.702600,-103.136000,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.slb.com/,Satellite/district lead for SLB/Smith Bits/wireline/drilling services; verify actual service lines and address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,32.7026,-103.136,,,City centroid / physical address needed,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Select Water Solutions - Hobbs,Water Management / Disposal,National / Major,Standard,,Hobbs,NM,Needs location-specific confirmation,https://www.selectwater.com/,32.702600,-103.136000,City-level geocode / needs address,Medium,Company source city-level; exact address needs confirmation,https://www.selectwater.com/contact-us/,Select lists this city as a service location; exact yard address should be confirmed by sales team.,Confirmed oilfield specific,Service city / exact yard pending,Existing V2.7 record,32.7026,-103.136,,,City centroid / no physical address,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Yellowjacket Oilfield Services - Hobbs,Fishing / Rental Tools / Thru Tubing,Regional / Multi-basin,Medium,,Hobbs,NM,575-964-7659,https://www.yjosllc.com/,32.702600,-103.136000,City-level geocode; exact address pending,Medium,Company source verified,https://www.yjosllc.com/oilfield-services/fishing-and-rental/,New Mexico/Permian fishing and thru-tubing services location.,Confirmed oilfield specific,Satellite service center,Existing V2.7 record,32.7026,-103.136,,,City centroid / no physical address,32.702600|-103.136000,8,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Maverick Well Drilling - Downhole Camera Service,Downhole Camera / Well Inspection,Regional,Medium,,New Mexico / Texas,NM,Needs direct confirmation,https://maverickwells.com/,34.519900,-105.870100,State-level placeholder; exact service yard pending,Medium,Company source; direct call recommended,https://maverickwells.com/well-services/downhole-camera-service/,Downhole camera service in NM/TX; needs qualification for oil/gas casing inspections versus water-well focus.,Needs oilfield qualification,Downhole camera provider,Existing V2.7 record,34.5199,-105.8701,,,City centroid / no physical address,34.519900|-105.870100,1,Single marker; tooltip opens on hover
Kingsly Compression - Cambridge,Compression / Gas Services,Regional / Appalachia,High,3956 John Glenn Hwy,Cambridge,OH,740-439-0772,https://www.kingslycompression.com/,40.031200,-81.588500,Address ready; geocode approximate,High,Company source verified,https://www.kingslycompression.com/ ; https://www.kingslycompression.com/contact/cambridge-ohio/,"Gas compressor packages, leasing and on-call service technicians across Marcellus and Utica basins.",Confirmed oilfield gas compression,Branch / service center,Existing V2.7 record,40.0312,-81.5885,,,Physical address / approximate geocode,40.031200|-81.588500,1,Single marker; tooltip opens on hover
Lally Pipe & Tube - Ohio Yard Placeholder,Pipe / Tubulars / Casing Pipe,Regional / Appalachia / Midwest,Medium,Yard extraction pending,Columbus,OH,Needs direct confirmation,https://www.lallypipe.com/,39.961200,-82.998800,City-level placeholder,Medium,Company yard extraction pending,https://www.lallypipe.com/ ; https://www.lallypipe.com/services/,Placeholder for Lally Ohio yard; verify location and threading/hydrotesting capabilities.,Oilfield-adjacent / qualify for OCTG and casing specs,Yard placeholder,Existing V2.7 record,39.9612,-82.9988,,,City centroid / physical address needed,39.961200|-82.998800,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
McGraw Kokosing,Industrial Fabrication / Metering Skids,Regional / Midwest / Gulf Support,Medium,Headquarters city-level,Columbus,OH,Needs direct confirmation,https://www.kokosing.biz/,39.961200,-82.998800,City-level geocode,Medium,Company project source verified,https://www.kokosing.biz/projects/oil-gas-metering-skids/,Fabrication/assembly of oil and gas metering skids; include for specialty fabrication and project support.,Confirmed oilfield project capability,Industrial fabrication / project support,Existing V2.7 record,39.9612,-82.9988,,,City centroid / physical address needed,39.961200|-82.998800,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
